epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2995,1.64096,3.79834,1.98719,0.27822,0.17694,0.08364,0.0399,1.83508,3.23008,2.29264,0.000301196,0.000301196,0.000301196
2,29.7949,1.76806,3.37564,2.02449,0.278,0.20679,0.10899,0.04686,2.10206,3.09781,2.44255,0.000584258,0.000584258,0.000584258
3,40.3814,1.78092,3.20013,2.05015,0.1544,0.21897,0.09283,0.03536,2.13174,3.24984,2.53867,0.000847321,0.000847321,0.000847321
4,51.4791,1.74978,3.0408,2.01957,0.27591,0.25154,0.12589,0.04568,1.99342,3.32271,2.36683,0.000819009,0.000819009,0.000819009
5,62.5109,1.73974,3.01183,2.03718,0.21169,0.22416,0.16627,0.06902,2.11165,2.9,2.41351,0.000789012,0.000789012,0.000789012
6,73.1208,1.71704,2.88418,1.98504,0.38636,0.24668,0.20268,0.09444,1.90361,2.89343,2.3453,0.000759015,0.000759015,0.000759015
7,84.4494,1.70695,2.75904,1.93237,0.15412,0.2581,0.14529,0.0685,1.99496,2.92743,2.37594,0.000729018,0.000729018,0.000729018
8,95.5576,1.65258,2.70405,1.9166,0.23981,0.23991,0.2115,0.08278,2.01542,2.74544,2.31909,0.000699021,0.000699021,0.000699021
9,105.999,1.66505,2.64198,1.92283,0.28577,0.28924,0.22248,0.0974,1.88928,2.71451,2.24067,0.000669024,0.000669024,0.000669024
10,117.306,1.64167,2.48082,1.87223,0.32213,0.26366,0.25668,0.12368,1.91188,2.63842,2.29091,0.000639027,0.000639027,0.000639027
11,128.542,1.58906,2.47033,1.84753,0.3119,0.34686,0.31609,0.13912,1.91298,2.42486,2.24867,0.00060903,0.00060903,0.00060903
12,139.208,1.58161,2.35818,1.83723,0.38828,0.36849,0.32103,0.14794,1.88513,2.43817,2.20004,0.000579033,0.000579033,0.000579033
13,150.57,1.58091,2.38472,1.8426,0.40134,0.40953,0.36602,0.15447,1.9483,2.30423,2.22701,0.000549036,0.000549036,0.000549036
14,161.707,1.56315,2.32242,1.8273,0.33655,0.36004,0.3412,0.15284,1.90187,2.31343,2.19322,0.000519039,0.000519039,0.000519039
15,172.362,1.54003,2.29151,1.80882,0.40355,0.41173,0.35385,0.15427,1.92091,2.34001,2.19064,0.000489042,0.000489042,0.000489042
16,183.464,1.51256,2.21532,1.78144,0.44983,0.33915,0.34231,0.15056,1.9454,2.29571,2.22985,0.000459045,0.000459045,0.000459045
17,194.073,1.48122,2.10479,1.76373,0.37538,0.40378,0.37713,0.17201,1.90989,2.18164,2.17162,0.000429048,0.000429048,0.000429048
18,205.264,1.48828,2.09847,1.75503,0.43693,0.42974,0.42775,0.19719,1.87959,2.14811,2.19384,0.000399051,0.000399051,0.000399051
19,216.736,1.47151,2.07767,1.73838,0.43246,0.48469,0.45357,0.19448,1.95782,2.04401,2.22629,0.000369054,0.000369054,0.000369054
20,227.32,1.45229,2.00224,1.7332,0.44901,0.46619,0.45135,0.21859,1.91619,2.06203,2.20964,0.000339057,0.000339057,0.000339057
21,239.22,1.38841,1.78015,1.76552,0.44444,0.51115,0.45184,0.2089,1.84988,2.02782,2.1552,0.00030906,0.00030906,0.00030906
22,250.613,1.36362,1.71969,1.7519,0.60275,0.41133,0.49263,0.22217,1.80464,2.06878,2.14128,0.000279063,0.000279063,0.000279063
23,261.28,1.34797,1.67325,1.73717,0.66231,0.43559,0.52068,0.24504,1.82991,1.92594,2.13089,0.000249066,0.000249066,0.000249066
24,272.595,1.31411,1.59725,1.69829,0.51116,0.52017,0.5398,0.26629,1.85885,1.92568,2.15162,0.000219069,0.000219069,0.000219069
25,283.682,1.29982,1.53438,1.6923,0.59175,0.49649,0.53793,0.2774,1.8085,1.84514,2.11034,0.000189072,0.000189072,0.000189072
26,294.287,1.27401,1.46428,1.66226,0.63058,0.48775,0.54763,0.263,1.81531,1.85687,2.11835,0.000159075,0.000159075,0.000159075
27,306.239,1.23776,1.4466,1.61812,0.59635,0.52622,0.544,0.2722,1.77797,1.81022,2.11365,0.000129078,0.000129078,0.000129078
28,318.53,1.23129,1.36689,1.626,0.6323,0.49361,0.55704,0.28962,1.78085,1.80844,2.11181,9.9081e-05,9.9081e-05,9.9081e-05
29,329.1,1.18222,1.32742,1.5903,0.68238,0.48392,0.56534,0.28718,1.7931,1.77823,2.12026,6.9084e-05,6.9084e-05,6.9084e-05
30,340.207,1.17624,1.31795,1.59287,0.60179,0.58884,0.58618,0.29671,1.79754,1.74614,2.11959,3.9087e-05,3.9087e-05,3.9087e-05
