epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8909,1.47854,3.97078,1.37079,0.00438,0.26679,0.0466,0.02494,1.63497,3.75501,1.40999,0.00021816,0.00021816,0.00021816
2,58.792,1.50258,3.3082,1.31105,0.00681,0.43364,0.08997,0.05109,1.62965,3.61858,1.43448,0.000430711,0.000430711,0.000430711
3,62.0775,1.53447,2.72856,1.34818,0.92695,0.03393,0.12377,0.06316,1.72181,3.3286,1.45586,0.000628264,0.000628264,0.000628264
4,65.1358,1.5787,2.25261,1.39544,0.45663,0.28388,0.2536,0.12535,1.70354,2.44648,1.4799,0.000810819,0.000810819,0.000810819
5,68.2846,1.5308,2.04125,1.34711,0.29522,0.45766,0.28708,0.13943,1.74797,2.17445,1.51917,0.000789012,0.000789012,0.000789012
6,71.5645,1.48418,1.87312,1.33656,0.29726,0.51135,0.28744,0.15948,1.65959,2.342,1.50706,0.000759015,0.000759015,0.000759015
7,74.8072,1.43314,1.7408,1.30838,0.32225,0.47777,0.31603,0.16227,1.71772,2.07956,1.55066,0.000729018,0.000729018,0.000729018
8,77.9074,1.41738,1.69038,1.31089,0.31196,0.59701,0.42431,0.2059,1.69846,1.79514,1.48263,0.000699021,0.000699021,0.000699021
9,81.3057,1.40631,1.65176,1.29558,0.3226,0.61891,0.41667,0.20723,1.70798,1.70074,1.50292,0.000669024,0.000669024,0.000669024
10,84.6047,1.36915,1.58194,1.27767,0.4537,0.60469,0.46886,0.23364,1.68825,1.63441,1.47078,0.000639027,0.000639027,0.000639027
11,87.9558,1.37531,1.54461,1.27635,0.34846,0.58018,0.41347,0.20806,1.59277,1.68947,1.40917,0.00060903,0.00060903,0.00060903
12,90.3635,1.3586,1.56866,1.28828,0.45067,0.57114,0.50996,0.25818,1.58929,1.43838,1.40941,0.000579033,0.000579033,0.000579033
13,93.5319,1.31853,1.52908,1.25924,0.41601,0.61916,0.50664,0.25968,1.61081,1.4338,1.39597,0.000549036,0.000549036,0.000549036
14,96.6996,1.31737,1.47158,1.26276,0.44915,0.61518,0.50219,0.27196,1.5509,1.46904,1.36187,0.000519039,0.000519039,0.000519039
15,99.912,1.29141,1.43342,1.25422,0.43187,0.58168,0.50166,0.26091,1.5851,1.47147,1.39336,0.000489042,0.000489042,0.000489042
16,103.171,1.29421,1.40831,1.23481,0.45777,0.62387,0.54324,0.27964,1.57275,1.39418,1.37783,0.000459045,0.000459045,0.000459045
17,106.41,1.31823,1.43407,1.23577,0.40994,0.66473,0.54699,0.28956,1.52868,1.44995,1.34633,0.000429048,0.000429048,0.000429048
18,109.603,1.27338,1.3774,1.22824,0.48881,0.62983,0.52944,0.28146,1.58959,1.35564,1.38427,0.000399051,0.000399051,0.000399051
19,112.893,1.31354,1.3979,1.24208,0.40473,0.6214,0.48944,0.26495,1.50315,1.39863,1.32661,0.000369054,0.000369054,0.000369054
20,116.237,1.26482,1.35671,1.24476,0.45945,0.62142,0.52209,0.28594,1.50232,1.33074,1.34182,0.000339057,0.000339057,0.000339057
21,120.224,1.2231,1.34338,1.19864,0.48801,0.58914,0.48857,0.2566,1.52468,1.42728,1.33592,0.00030906,0.00030906,0.00030906
22,122.448,1.21836,1.35215,1.17712,0.48143,0.62367,0.51084,0.27218,1.51159,1.36569,1.32474,0.000279063,0.000279063,0.000279063
