epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.134,1.29296,1.33199,1.23054,0.61789,0.62,0.62082,0.43526,0.94247,0.80894,1.03004,0.000476133,0.000476133,0.000476133
2,403.451,1.13879,0.81304,1.13422,0.71302,0.71349,0.71031,0.48142,0.87618,0.67527,1.00324,0.000921035,0.000921035,0.000921035
3,593.37,1.10098,0.74738,1.11411,0.6585,0.60491,0.65921,0.47407,0.87065,0.66241,0.99321,0.0013345,0.0013345,0.0013345
4,781.937,1.06276,0.6931,1.08924,0.73084,0.71244,0.72203,0.5152,0.85685,0.61163,0.97807,0.00128753,0.00128753,0.00128753
5,971.129,1.02669,0.66102,1.07203,0.79367,0.69989,0.76082,0.53519,0.80275,0.57526,0.97391,0.00124037,0.00124037,0.00124037
6,1179.89,1.00254,0.63052,1.05945,0.80284,0.67582,0.7638,0.55848,0.80044,0.53015,0.97622,0.00119322,0.00119322,0.00119322
7,1372.26,0.96518,0.60868,1.04864,0.71444,0.72481,0.75344,0.54976,0.79847,0.56455,0.96524,0.00114606,0.00114606,0.00114606
8,1562.02,0.95433,0.5956,1.04389,0.72303,0.79811,0.77501,0.56557,0.77744,0.52709,0.94238,0.0010989,0.0010989,0.0010989
9,1751.4,0.93825,0.58052,1.03423,0.69977,0.76517,0.75363,0.5639,0.73456,0.51012,0.94427,0.00105174,0.00105174,0.00105174
10,1939.59,0.92539,0.56946,1.02622,0.78797,0.78239,0.79639,0.60119,0.71943,0.48341,0.92615,0.00100459,0.00100459,0.00100459
11,2128.84,0.9154,0.56135,1.02285,0.83923,0.74463,0.80527,0.59341,0.74734,0.49765,0.9407,0.00095743,0.00095743,0.00095743
12,2316.59,0.89649,0.54805,1.01593,0.70477,0.72169,0.79022,0.57611,0.70552,0.48949,0.92417,0.000910273,0.000910273,0.000910273
13,2504.88,0.8931,0.54077,1.01289,0.65751,0.77296,0.77732,0.58592,0.72468,0.488,0.93254,0.000863116,0.000863116,0.000863116
14,2695.2,0.87536,0.53288,1.00785,0.76257,0.80313,0.80801,0.61453,0.67496,0.44341,0.91603,0.000815959,0.000815959,0.000815959
15,2883.22,0.87035,0.52545,1.00497,0.7637,0.78426,0.79789,0.61049,0.66779,0.44939,0.89486,0.000768802,0.000768802,0.000768802
16,3071.98,0.85849,0.52163,1.00049,0.77671,0.71239,0.77653,0.5998,0.66792,0.45155,0.91754,0.000721645,0.000721645,0.000721645
17,3260,0.85333,0.51489,0.99837,0.77346,0.789,0.79809,0.61096,0.65383,0.43452,0.9055,0.000674488,0.000674488,0.000674488
18,3447.96,0.83965,0.50878,0.99479,0.76491,0.79511,0.81581,0.62488,0.64771,0.43216,0.8955,0.000627331,0.000627331,0.000627331
19,3635.49,0.82905,0.50158,0.99146,0.776,0.78297,0.80543,0.63519,0.63448,0.42255,0.90148,0.000580174,0.000580174,0.000580174
20,3824.25,0.81718,0.4896,0.98706,0.76847,0.73944,0.81547,0.62594,0.64965,0.4201,0.89207,0.000533017,0.000533017,0.000533017
21,4014.83,0.78474,0.46534,0.95838,0.73029,0.80373,0.80821,0.61906,0.64691,0.45844,0.91111,0.00048586,0.00048586,0.00048586
22,4204.27,0.76902,0.45374,0.94985,0.75803,0.76107,0.821,0.63113,0.63834,0.47652,0.90766,0.000438703,0.000438703,0.000438703
23,4393.44,0.75338,0.44339,0.9449,0.78903,0.77303,0.8084,0.62159,0.62097,0.43481,0.90547,0.000391546,0.000391546,0.000391546
24,4582.2,0.74061,0.43372,0.94034,0.76575,0.76863,0.81752,0.62059,0.63052,0.44219,0.91044,0.000344389,0.000344389,0.000344389
25,4770.71,0.73617,0.4333,0.93896,0.70111,0.76545,0.80559,0.62584,0.60864,0.44772,0.89062,0.000297232,0.000297232,0.000297232
26,4959.54,0.72028,0.42386,0.93292,0.81326,0.69832,0.79313,0.63451,0.61464,0.44899,0.90631,0.000250075,0.000250075,0.000250075
27,5148.95,0.71243,0.41588,0.92725,0.85901,0.72685,0.80515,0.62926,0.61244,0.4621,0.90003,0.000202918,0.000202918,0.000202918
28,5338.26,0.70437,0.41289,0.92601,0.7559,0.80275,0.82803,0.64117,0.60302,0.44714,0.89052,0.000155761,0.000155761,0.000155761
29,5527.34,0.69321,0.40846,0.92246,0.7225,0.78629,0.80548,0.63203,0.60182,0.43863,0.89992,0.000108604,0.000108604,0.000108604
30,5716.31,0.6879,0.40419,0.92193,0.747,0.79043,0.81272,0.64027,0.60303,0.45153,0.89917,6.1447e-05,6.1447e-05,6.1447e-05
