epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.652,2.09988,1.97627,2.07036,0.08262,0.21567,0.05351,0.01278,2.75134,4.60014,3.18715,0.0700909,0.00332323,0.00332323
2,417.415,1.98168,1.73132,1.94474,0.59048,0.32999,0.25524,0.08046,2.78483,3.41839,3.04501,0.040085,0.00665065,0.00665065
3,616.57,1.91301,1.59061,1.87523,0.47461,0.5739,0.4764,0.17076,2.22058,1.802,2.50243,0.0100555,0.00995445,0.00995445
4,816.837,1.87179,1.50872,1.84516,0.49723,0.54429,0.46555,0.19978,2.19822,1.96901,2.43177,0.00992029,0.00992029,0.00992029
5,1014.48,1.79857,1.4012,1.78109,0.50871,0.51169,0.43205,0.19801,2.27032,2.41087,2.54095,0.00985862,0.00985862,0.00985862
6,1210.74,1.743,1.34161,1.74744,0.66813,0.6623,0.65662,0.33199,1.66007,1.38323,1.93377,0.00977975,0.00977975,0.00977975
7,1409.01,1.70355,1.28263,1.71075,0.67985,0.61684,0.63699,0.29454,1.99558,1.61604,2.30946,0.00968399,0.00968399,0.00968399
8,1606.31,1.6862,1.23687,1.68756,0.50646,0.57433,0.53607,0.2458,1.86824,1.6806,2.05686,0.00957172,0.00957172,0.00957172
9,1803.34,1.65957,1.20365,1.67193,0.66194,0.71999,0.73127,0.39925,1.60148,1.25748,1.83678,0.00944338,0.00944338,0.00944338
10,2002.33,1.63442,1.15983,1.64996,0.63856,0.72675,0.69966,0.36203,1.58689,1.21989,1.87357,0.00929948,0.00929948,0.00929948
11,2198.63,1.60437,1.12732,1.62416,0.72654,0.7467,0.74465,0.38235,1.57365,1.17369,1.8729,0.00914058,0.00914058,0.00914058
12,2394.63,1.57589,1.08821,1.60959,0.77076,0.74016,0.76367,0.43997,1.47117,0.93414,1.76672,0.00896731,0.00896731,0.00896731
13,2592.25,1.55593,1.07313,1.59709,0.79073,0.71892,0.74189,0.40586,1.57525,1.06003,1.83684,0.00878036,0.00878036,0.00878036
14,2788.65,1.55066,1.09059,1.59376,0.71373,0.62641,0.68471,0.38393,1.64316,1.15101,1.92614,0.00858046,0.00858046,0.00858046
15,2985.3,1.50897,1.02154,1.55747,0.71395,0.76634,0.75142,0.43004,1.43345,1.02472,1.76173,0.00836841,0.00836841,0.00836841
